city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-73,-46,58,34
3,11,-47,66,24
4,38,-37,5,23
5,-25,-62,23,37
6,44,3,39,29
7,-20,-80,20,42
8,-6,-12,28,21
9,-80,-67,21,38
10,-55,84,11,12
11,66,-70,18,7
12,-34,15,16,7
13,-64,78,12,38
14,-29,-26,85,27
15,32,48,54,34
16,5,-32,78,10
17,-2,31,76,35
18,-29,-39,41,20
19,-9,-49,66,9
20,-84,44,46,35
21,45,65,20,24
22,-34,71,24,37
23,85,48,84,34
24,49,0,11,21
25,-79,-14,50,11
26,78,-38,72,34
27,61,38,72,9
28,-5,-54,49,19
29,-50,-49,79,21
30,-6,63,58,3
31,-75,-62,18,34
32,0,22,18,36
33,53,18,38,4
34,-7,24,53,31
35,4,-26,52,4
36,11,-31,64,40
37,-70,-65,23,17
38,-42,-61,52,37
39,-8,21,60,31
40,-41,49,45,29
41,-71,-54,39,42
42,10,-76,18,34
43,80,-27,4,23
44,25,53,28,40
45,14,51,12,6
46,-1,-79,71,6
47,21,55,75,28
48,-81,81,42,8
49,59,0,70,21
50,81,-9,70,40
51,48,-38,64,29
52,-78,-19,30,33
53,38,78,55,7
54,-34,-9,7,22
55,62,56,24,7
56,-76,-15,56,32
57,42,41,48,30
58,14,45,69,26
59,-25,-59,2,9
60,-85,-73,13,37
61,5,28,61,20
62,70,11,36,19
63,-25,-22,32,27
64,16,-17,10,20
65,19,-23,7,9
66,-63,-29,32,21
67,-19,37,60,24
68,-35,-53,39,36
69,33,-68,78,3
70,6,49,69,19
71,24,50,2,30
72,48,15,54,34
73,25,-81,13,26
74,17,58,16,21
75,-44,-2,63,41
76,-29,-59,83,12
77,36,-10,5,14
78,-49,-76,40,29
79,72,35,58,28
80,-3,12,60,4
81,-48,4,9,7
82,10,44,85,27
83,-46,-47,4,40
84,-73,29,12,1
85,2,-80,64,4
