city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,98,-14,14,24
3,139,-130,31,38
4,-134,45,32,61
5,48,52,91,45
6,74,-67,158,72
7,84,-70,67,37
8,-47,-56,83,51
9,140,75,13,39
10,12,-8,93,18
11,133,-18,22,46
12,53,94,62,36
13,147,-24,41,65
14,89,-94,40,70
15,42,30,117,43
16,128,-21,8,43
17,41,40,57,65
18,114,65,4,27
19,24,-20,109,32
20,-1,113,110,35
21,136,-99,160,24
22,95,16,35,66
23,93,-30,57,38
24,-54,-48,113,66
25,115,11,143,3
26,102,-18,110,43
27,155,48,115,5
28,-43,-65,44,19
29,95,135,110,47
30,-107,122,53,18
31,-41,5,109,78
32,89,-87,137,61
33,123,10,105,35
34,-134,67,154,28
35,-118,122,122,53
36,-81,-104,4,22
37,-148,78,156,74
38,57,141,114,61
39,-66,20,138,36
40,135,-78,130,11
41,-77,-88,39,5
42,-133,16,113,76
43,47,44,159,74
44,28,61,119,47
45,90,147,140,22
46,120,-8,126,39
47,-127,-36,61,45
48,-129,36,48,3
49,84,83,160,38
50,-156,-55,32,68
51,-66,117,63,40
52,66,-60,130,52
53,95,-148,84,3
54,-48,-114,28,51
55,16,-112,80,14
56,39,81,128,31
57,92,70,50,48
58,-94,-158,102,28
59,77,105,101,4
60,150,-5,47,42
61,158,-27,69,57
62,-81,25,3,59
63,-94,-110,113,39
64,-91,-10,139,34
65,14,95,28,30
66,81,71,36,58
67,122,107,82,69
68,-117,-144,87,9
69,-17,-65,130,40
70,-48,-126,83,21
71,37,-131,15,67
72,7,-44,5,42
73,-32,-68,158,28
74,-37,-70,88,21
75,89,-156,154,9
76,-55,56,96,22
77,-83,41,47,3
78,-63,-49,55,2
79,-86,-10,122,44
80,-98,62,47,69
81,64,135,112,10
82,9,69,45,51
83,-90,-8,122,60
84,-89,-121,53,19
85,136,-31,127,39
86,-35,76,45,66
87,-125,53,60,31
88,151,-83,24,49
89,-99,-143,36,64
90,68,74,158,75
91,-111,-48,151,42
92,132,-37,140,38
93,-15,30,88,4
94,-45,-26,28,10
95,34,-143,139,50
96,133,-112,37,80
97,143,77,11,43
98,-132,-101,79,64
99,20,-68,9,57
100,59,-43,60,24
101,-10,-74,38,46
102,-14,-14,88,35
103,145,147,127,48
104,-69,27,126,37
105,-39,153,6,58
106,66,-147,41,41
107,-31,-13,90,29
108,69,-33,12,33
109,-140,-17,34,53
110,-96,-92,148,73
111,-120,-140,145,22
112,52,35,104,33
113,-154,-79,154,73
114,115,20,71,53
115,-74,112,147,34
116,88,-28,116,52
117,-134,2,85,74
118,-158,132,49,9
119,-98,-4,116,55
120,-128,2,108,32
121,-115,-103,147,51
122,-107,-74,28,43
123,27,5,32,44
124,0,124,31,59
125,81,121,117,43
126,123,145,11,38
127,32,133,113,75
128,141,-121,20,31
129,-2,-137,117,39
130,123,-65,59,51
131,92,-41,18,34
132,-22,-26,154,42
133,119,-24,69,65
134,-152,-115,42,66
135,-112,-10,85,32
136,-40,99,81,25
137,-68,30,39,21
138,-117,69,130,65
139,100,123,35,58
140,135,-61,70,38
141,54,82,84,45
142,7,149,30,45
143,-116,-159,7,56
144,-62,89,145,5
145,108,-133,96,45
146,7,123,6,35
147,-85,44,14,69
148,81,22,121,57
149,-49,156,126,5
150,150,28,48,19
151,-142,45,2,77
152,-35,120,152,75
153,-133,69,159,63
154,-22,85,53,23
155,100,47,93,14
156,-67,-25,61,58
157,-26,8,109,26
158,-114,-65,117,42
159,75,29,98,35
160,-79,16,129,31
