city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,49,45,21,6
3,46,47,32,4
4,-49,-21,28,27
5,-24,-36,19,2
6,36,-8,45,18
7,-11,11,29,7
8,-59,-61,12,4
9,-30,-44,42,7
10,54,-20,61,10
11,-39,-6,33,12
12,-12,46,38,12
13,4,-41,57,8
14,-34,46,19,25
15,-24,19,39,2
16,-31,-17,52,20
17,-19,-49,22,11
18,-4,-60,37,11
19,-61,57,44,26
20,12,-45,7,12
21,-39,51,7,16
22,-20,45,8,9
23,54,33,57,16
24,-52,14,29,26
25,-13,38,3,17
26,-45,-47,13,1
27,30,-59,1,22
28,41,28,26,22
29,-21,-29,9,4
30,-41,-40,1,16
31,54,41,6,13
32,55,-20,44,8
33,56,13,16,17
34,-14,-14,10,8
35,21,61,50,19
36,16,-8,16,13
37,-28,-2,24,10
38,-37,-30,30,20
39,60,45,48,13
40,21,16,53,6
41,-20,-15,24,4
42,-44,6,20,2
43,-29,-44,52,27
44,-12,-44,37,23
45,20,45,4,18
46,-44,15,55,23
47,9,-52,19,16
48,-61,17,50,17
49,34,32,36,30
50,15,-51,2,7
51,-61,-15,3,28
52,-28,41,6,26
53,61,16,28,2
54,-55,51,59,2
55,8,-49,28,17
56,-44,33,48,28
57,19,36,57,21
58,-35,-51,58,23
59,35,55,44,17
60,2,-36,57,29
61,-42,-31,48,29
