city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-38,31,11,6
3,15,34,32,18
4,14,-21,10,13
5,-15,-20,18,12
6,17,-6,6,6
7,-17,36,33,10
8,-8,12,1,2
9,-23,14,20,15
10,-9,-35,29,17
11,33,31,12,18
12,-32,10,38,11
13,19,-26,26,5
14,21,2,22,18
15,-21,36,14,13
16,-21,7,4,6
17,-32,28,17,18
18,-8,32,10,6
19,34,15,24,9
20,-6,20,23,14
21,-26,4,19,9
22,30,-14,24,7
23,-21,-2,16,8
24,-31,-18,7,2
25,-11,24,28,7
26,2,4,17,2
27,23,10,18,13
28,-10,29,36,17
29,-1,27,4,6
30,-35,-14,34,6
31,-38,-2,18,6
32,20,28,29,11
33,-32,-1,35,10
34,-8,12,28,6
35,7,-16,20,4
36,5,14,6,3
37,20,35,18,2
38,-29,-35,2,3
