city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-29,-15,19,26
3,-47,-92,81,47
4,-48,52,39,42
5,-32,-65,21,20
6,-65,36,54,33
7,-53,22,55,23
8,93,-57,89,30
9,12,75,86,28
10,-14,17,55,8
11,-7,46,38,17
12,-47,29,57,22
13,-22,16,62,44
14,-62,78,23,16
15,79,-84,84,43
16,10,17,21,7
17,20,-94,48,16
18,30,-88,78,18
19,63,-70,70,43
20,17,-44,9,45
21,14,1,65,21
22,1,-81,69,28
23,-12,44,81,38
24,66,-83,30,29
25,12,32,36,1
26,-89,25,38,23
27,1,75,27,32
28,48,37,48,29
29,-21,-17,29,2
30,-42,16,43,27
31,-82,-61,42,27
32,-74,59,28,38
33,-26,-64,78,1
34,-79,4,47,33
35,53,13,90,39
36,25,-78,66,9
37,-45,-35,24,34
38,31,1,85,40
39,92,-31,48,46
40,-15,-18,53,4
41,-71,-26,8,42
42,81,-59,82,3
43,-15,12,72,15
44,-6,-70,66,8
45,70,-5,53,42
46,-16,12,42,28
47,-65,75,63,33
48,-18,-44,85,34
49,-52,-76,78,19
50,-57,5,62,40
51,24,77,65,4
52,-81,87,13,28
53,-74,-51,4,24
54,-69,27,90,20
55,-65,-58,30,43
56,-41,-63,83,32
57,-78,-54,81,2
58,-46,-61,54,21
59,9,17,26,37
60,28,-28,40,2
61,48,-22,38,6
62,10,-14,5,9
63,65,-31,52,1
64,65,-67,19,45
65,64,-1,55,28
66,50,-1,10,12
67,1,-28,70,14
68,-65,-85,69,7
69,-90,-7,30,2
70,62,15,15,17
71,28,91,15,21
72,-73,-90,40,25
73,81,0,56,16
74,-68,-93,81,34
75,30,88,19,25
76,-94,72,67,3
77,48,-76,24,18
78,-39,55,8,43
79,75,50,50,12
80,5,-58,48,5
81,-20,81,14,3
82,-85,-53,93,1
83,-26,-73,25,35
84,-86,-28,23,34
85,7,74,72,36
86,14,-86,39,20
87,-36,-30,40,11
88,-9,-2,29,37
89,65,-17,41,41
90,-56,-61,42,5
91,51,73,27,33
92,-19,50,14,27
93,-90,-49,13,8
94,11,26,90,5
