city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,426,429,261,221
3,113,135,252,145
4,-82,18,378,90
5,322,-249,421,92
6,-256,370,286,84
7,-156,-137,332,13
8,-392,-29,270,195
9,448,449,253,57
10,53,-349,99,17
11,-139,137,62,183
12,250,-376,2,40
13,135,-48,271,150
14,-306,-305,152,201
15,-285,-40,99,199
16,313,-361,403,128
17,279,-15,163,9
18,286,-408,173,175
19,-383,239,87,15
20,-357,299,216,44
21,271,425,83,109
22,-225,-364,242,210
23,88,240,243,221
24,-196,187,182,194
25,-210,161,263,95
26,-49,-45,404,95
27,68,447,120,160
28,44,95,252,120
29,356,424,225,122
30,-25,-407,44,60
31,-281,-249,195,151
32,-362,-70,186,119
33,202,-293,354,25
34,166,-148,144,117
35,96,-93,61,177
36,199,160,369,201
37,398,-248,392,187
38,192,428,384,217
39,191,-210,195,20
40,134,20,373,63
41,334,344,305,151
42,83,314,136,176
43,321,-290,304,20
44,-130,278,406,168
45,-202,49,443,6
46,-280,-281,34,133
47,-67,136,83,144
48,8,271,429,155
49,45,29,28,179
50,-36,-419,188,72
51,-252,-111,134,85
52,174,413,272,70
53,-61,278,45,87
54,-231,15,148,44
55,-140,35,351,138
56,259,416,450,150
57,-135,304,404,181
58,-80,163,316,40
59,296,150,91,169
60,-217,-335,292,137
61,385,-384,33,203
62,231,-147,254,157
63,119,238,326,72
64,71,-340,309,45
65,270,51,169,144
66,-333,-426,334,49
67,23,-337,413,29
68,-164,224,251,176
69,-396,-379,207,8
70,-388,374,17,33
71,-300,142,350,155
72,-188,7,148,171
73,385,-181,205,84
74,-282,-360,308,21
75,-352,271,237,17
76,334,334,391,162
77,-240,49,403,15
78,326,-243,250,54
79,-432,259,307,222
80,2,163,64,209
81,-228,24,118,75
82,-43,-311,368,160
83,-165,341,294,6
84,293,-142,351,158
85,311,-218,333,185
86,-436,192,247,57
87,-377,370,1,102
88,385,142,409,52
89,-292,-38,178,122
90,-253,-95,39,175
91,-263,-74,355,86
92,-310,-120,287,98
93,-114,19,189,218
94,-448,269,340,90
95,88,-144,29,213
96,-422,120,164,52
97,-2,-153,320,114
98,-95,-450,296,173
99,-321,-408,376,156
100,277,-44,326,125
101,31,441,7,199
102,-374,-424,277,189
103,205,-48,132,46
104,-450,112,265,83
105,33,253,306,94
106,-348,131,305,168
107,386,-360,349,57
108,405,435,362,18
109,81,102,17,220
110,-345,78,278,217
111,197,393,301,70
112,-247,-88,302,24
113,217,122,139,225
114,174,100,197,175
115,-169,-151,188,72
116,-119,211,44,179
117,91,368,228,84
118,322,-60,325,39
119,-237,-322,327,204
120,-119,-130,272,193
121,150,-26,332,14
122,140,109,301,52
123,-158,143,346,68
124,299,-181,61,220
125,-81,-360,161,6
126,125,313,220,175
127,278,160,376,213
128,-408,-45,333,104
129,34,113,153,43
130,267,232,265,192
131,-257,89,250,167
132,220,162,270,121
133,73,-287,328,140
134,-216,443,449,128
135,310,426,115,169
136,439,-157,143,124
137,166,102,244,75
138,11,144,80,26
139,259,293,27,88
140,423,420,317,201
141,1,153,204,157
142,-232,-398,385,24
143,-334,-328,260,115
144,418,-302,15,124
145,397,-407,427,17
146,-200,-253,428,179
147,257,-349,110,119
148,-394,354,269,219
149,-412,68,428,28
150,-402,-92,14,99
151,-122,-397,44,31
152,87,315,97,82
153,-107,214,197,195
154,23,-151,271,111
155,132,269,61,64
156,286,-353,134,25
157,-246,-166,186,133
158,368,-6,215,37
159,-319,-386,51,91
160,421,-46,358,40
161,-79,-419,199,53
162,249,253,165,211
163,265,64,140,58
164,-155,-450,18,92
165,401,433,272,132
166,41,282,183,193
167,-273,326,435,133
168,8,321,121,225
169,-38,-349,425,6
170,-58,391,279,103
171,259,-124,91,221
172,363,292,268,85
173,-441,432,347,28
174,284,-441,411,66
175,-411,167,24,134
176,308,-267,118,142
177,282,321,61,67
178,433,-392,403,65
179,-336,-161,59,27
180,-14,-66,438,50
181,-184,-281,97,191
182,315,-99,198,114
183,448,425,21,209
184,-285,334,407,184
185,-18,375,240,193
186,-173,-199,357,67
187,125,-212,137,147
188,159,170,413,110
189,153,-224,345,14
190,90,-199,396,158
191,-291,-378,344,100
192,178,-273,341,191
193,-414,-371,222,157
194,-431,151,330,119
195,-167,-303,38,136
196,332,359,185,155
197,435,145,75,141
198,-106,361,352,25
199,-11,-142,163,34
200,-17,-209,197,29
201,160,-99,82,110
202,50,225,130,153
203,25,-318,240,206
204,44,50,419,166
205,415,366,197,89
206,252,419,277,197
207,71,279,343,96
208,-58,114,393,119
209,267,-435,378,59
210,-247,-191,450,17
211,-156,-88,87,129
212,26,-219,160,49
213,-113,306,298,116
214,396,-395,189,67
215,241,329,355,111
216,11,277,149,103
217,-91,442,73,114
218,-57,-28,91,80
219,294,-233,112,223
220,69,18,63,43
221,-77,-222,200,195
222,-70,8,36,88
223,-208,345,238,83
224,276,-430,301,43
225,-354,-77,220,165
226,-73,-443,415,198
227,-56,287,335,91
228,445,-217,333,38
229,-133,-227,196,144
230,264,209,57,39
231,171,322,178,72
232,212,-358,216,149
233,-52,354,374,200
234,110,258,223,146
235,28,33,215,86
236,130,-107,79,20
237,-108,113,331,45
238,14,37,398,182
239,-123,353,105,194
240,298,-181,439,56
241,344,-98,10,193
242,-187,-442,355,20
243,314,-389,213,87
244,98,-371,242,189
245,-228,-244,43,47
246,236,-24,255,145
247,-223,123,75,67
248,111,376,122,150
249,-218,229,125,154
250,-36,-61,118,70
251,-266,-226,364,139
252,67,97,100,28
253,-319,371,443,127
254,405,-356,138,164
255,242,343,438,69
256,353,-96,198,58
257,-20,232,195,14
258,-398,139,35,122
259,-147,-377,2,91
260,96,97,92,4
261,222,49,225,133
262,161,384,366,18
263,90,-183,242,84
264,-380,-440,390,163
265,181,263,274,32
266,-304,-255,94,102
267,238,374,411,49
