city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,51,-116,82,65
3,97,-3,117,11
4,54,-100,163,70
5,-36,-142,45,43
6,31,-176,60,93
7,158,-162,58,57
8,-8,-43,22,89
9,169,-92,160,95
10,-164,82,105,64
11,73,-40,58,70
12,92,-26,53,66
13,-5,-120,132,48
14,-9,126,168,25
15,57,-171,25,81
16,40,-55,12,74
17,-129,84,26,75
18,-54,-166,168,68
19,53,38,98,29
20,81,149,105,61
21,-137,-178,59,10
22,143,-63,106,10
23,-42,-138,58,60
24,-153,51,36,87
25,-105,-182,79,30
26,-76,-180,169,70
27,130,185,9,16
28,41,-86,70,48
29,95,-97,127,73
30,-138,-178,149,5
31,63,-157,42,7
32,-89,-137,49,42
33,-77,-102,59,25
34,122,178,6,15
35,-170,-25,160,29
36,-165,146,177,27
37,41,188,120,8
38,-173,59,131,40
39,145,-126,174,94
40,-171,-72,128,34
41,-124,133,188,34
42,-69,26,156,23
43,185,-177,114,48
44,-183,125,66,82
45,61,135,26,12
46,-127,92,177,37
47,126,-178,148,76
48,175,48,69,2
49,26,26,65,40
50,-70,-63,15,71
51,-21,-95,53,60
52,-127,-46,110,33
53,40,56,31,61
54,99,6,111,93
55,13,7,9,12
56,-101,-101,1,55
57,-160,45,7,76
58,-116,-107,171,80
59,27,24,85,72
60,-34,-45,3,11
61,19,78,81,31
62,79,-70,66,89
63,78,39,123,78
64,-150,-139,91,94
65,-184,-122,23,33
66,71,-67,170,54
67,90,173,1,49
68,137,-20,111,31
69,97,56,31,22
70,-140,82,153,93
71,134,-187,177,46
72,111,-188,35,21
73,57,-129,130,24
74,28,-68,98,39
75,27,59,47,40
76,-89,-11,22,20
77,187,55,159,11
78,-110,-62,117,65
79,172,37,106,61
80,77,80,148,66
81,139,163,1,5
82,168,112,103,43
83,-176,74,41,40
84,-25,150,165,6
85,-189,-73,189,46
86,-79,172,131,11
87,-74,-121,51,34
88,-46,-138,56,21
89,45,-93,139,75
90,-19,-60,33,86
91,20,47,18,15
92,16,-63,61,86
93,102,161,164,88
94,-183,-129,6,42
95,27,-114,190,25
96,142,-174,125,4
97,58,-177,187,63
98,4,53,151,71
99,0,-7,126,77
100,174,65,129,47
101,62,-178,98,53
102,3,40,162,18
103,29,-2,104,47
104,1,-162,81,44
105,-44,-104,147,90
106,79,-82,9,75
107,60,-43,82,4
108,190,90,72,44
109,37,43,121,92
110,-28,-36,84,56
111,-128,176,124,84
112,111,-122,85,27
113,-128,-171,92,79
114,134,-59,161,29
115,96,31,49,36
116,114,33,58,44
117,-43,-5,95,15
118,20,-54,120,58
119,-133,60,190,38
120,-128,-154,78,93
121,-62,168,3,87
122,154,-46,79,64
123,85,66,11,87
124,-25,93,54,56
125,-157,122,180,52
126,142,51,82,36
127,-182,-108,139,67
128,-4,173,7,44
129,-109,-105,187,20
130,-95,148,53,48
131,52,91,54,86
132,152,-158,80,60
133,-141,131,57,87
134,130,8,94,22
135,-176,-104,148,43
136,-105,-85,38,33
137,138,102,183,68
138,-59,-145,9,40
139,116,161,113,51
140,-60,-109,143,90
141,-86,121,98,59
142,45,-82,11,64
143,-127,-97,70,67
144,138,166,98,7
145,94,87,129,11
146,190,-77,66,60
147,-153,40,190,84
148,12,-83,23,43
149,93,66,148,2
150,-50,-176,101,65
151,-62,49,93,25
152,100,-93,67,1
153,-128,-148,4,94
154,-78,-166,2,84
155,-7,183,167,49
156,96,-104,107,24
157,-147,-105,72,11
158,-18,-55,150,92
159,-113,-7,19,87
160,-63,104,113,78
161,89,-171,59,39
162,-83,-135,124,93
163,-57,-99,110,59
164,-115,15,182,20
165,-154,-1,135,68
166,36,-2,152,26
167,11,-181,162,40
168,-187,-96,30,64
169,65,-106,98,58
170,15,102,167,28
171,-13,105,22,51
172,43,171,165,3
173,52,-156,136,56
174,-85,76,70,50
175,132,-12,32,43
176,172,103,108,77
177,-78,-111,90,82
178,-59,18,55,90
179,24,47,141,19
180,107,-188,60,42
181,163,-166,177,81
182,-134,187,30,28
183,112,38,115,60
184,-68,-111,50,70
185,-173,-150,44,21
186,43,-125,18,49
187,55,58,37,37
188,-22,62,32,57
189,-75,-157,67,84
190,-133,-171,77,74
