city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-25,77,69,38
3,61,-43,64,25
4,42,-57,62,33
5,-8,-68,19,16
6,6,43,30,13
7,-60,-34,56,3
8,70,-33,52,14
9,13,69,36,21
10,72,-14,40,15
11,-61,-55,14,34
12,39,-38,46,24
13,27,2,59,27
14,-33,-71,73,4
15,40,62,27,21
16,57,-55,34,19
17,2,-22,19,32
18,-51,36,55,24
19,-74,14,3,17
20,67,41,61,10
21,43,57,57,35
22,-70,54,69,34
23,49,-18,7,33
24,-24,-65,50,30
25,-38,-46,62,38
26,-16,-34,35,25
27,39,57,65,20
28,-70,-35,1,8
29,-35,31,60,26
30,-74,32,65,36
31,-9,70,3,29
32,56,-32,53,20
33,32,-68,65,9
34,-30,40,14,29
35,53,-61,31,32
36,24,20,57,33
37,70,-76,53,6
38,43,-50,21,18
39,-44,-54,46,25
40,36,-51,7,30
41,72,-18,11,13
42,-6,13,5,23
43,46,-65,49,32
44,17,-33,17,7
45,-33,0,74,12
46,-29,-24,55,29
47,-19,-21,39,13
48,-65,62,23,31
49,-25,73,39,22
50,54,34,65,16
51,-34,16,22,31
52,63,5,17,23
53,-48,-55,50,6
54,24,24,49,16
55,6,41,70,18
56,-30,16,10,13
57,62,29,58,26
58,-71,31,47,25
59,-62,-38,29,5
60,15,-24,62,8
61,56,12,13,6
62,-2,21,12,11
63,76,19,74,28
64,6,10,65,6
65,-69,56,54,32
66,-11,-63,59,30
67,-1,15,65,28
68,-63,38,33,35
69,-63,-20,20,14
70,-28,-34,3,20
71,27,-14,55,23
72,72,64,26,23
73,-9,43,71,25
74,57,25,30,11
75,8,17,32,5
76,-36,-42,40,1
77,-28,20,59,5
