city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-54,-88,105,14
3,44,32,43,63
4,97,-58,92,61
5,-8,5,64,8
6,78,-34,32,67
7,135,87,116,76
8,33,21,45,26
9,-86,-99,35,72
10,-1,-22,107,61
11,31,131,51,46
12,-55,-39,8,75
13,-148,-52,42,31
14,0,155,67,21
15,148,-109,137,24
16,78,-1,104,56
17,115,-65,83,6
18,129,138,25,66
19,-19,-82,150,27
20,-150,8,75,61
21,-15,100,131,5
22,-12,47,13,70
23,-7,46,18,19
24,61,108,106,71
25,-23,150,117,69
26,22,127,15,49
27,-37,-109,127,1
28,-137,-1,73,27
29,134,-20,59,31
30,-93,83,88,44
31,41,-65,107,45
32,114,-20,14,70
33,84,-37,45,62
34,-55,153,141,70
35,-14,-68,149,28
36,-77,-10,150,6
37,-102,-63,144,9
38,-89,115,123,38
39,12,-95,144,46
40,65,-70,19,23
41,54,152,62,30
42,-107,78,107,11
43,13,39,16,38
44,-66,128,11,73
45,-62,-25,9,55
46,144,151,110,72
47,4,130,125,3
48,-64,114,87,52
49,48,-128,95,62
50,65,46,130,21
51,38,100,87,75
52,48,-63,39,25
53,45,-38,95,36
54,15,-52,108,15
55,141,3,49,13
56,-131,33,135,47
57,-151,0,16,61
58,142,56,146,45
59,-116,-21,48,28
60,141,127,33,49
61,-121,-58,72,38
62,151,-8,153,68
63,49,-52,90,11
64,42,-49,71,61
65,-144,-88,42,22
66,97,-89,32,39
67,-80,80,154,15
68,-47,-119,77,24
69,110,-78,145,58
70,125,8,138,15
71,-122,-65,134,50
72,96,16,20,18
73,88,89,103,61
74,7,-79,86,31
75,-136,72,99,63
76,-14,134,95,47
77,-152,-19,58,27
78,-63,8,51,61
79,58,-87,91,55
80,-86,110,68,2
81,-63,28,80,64
82,-67,-58,153,1
83,-146,40,98,22
84,32,26,117,59
85,108,7,89,66
86,95,-136,130,72
87,127,-44,72,15
88,-82,22,94,72
89,93,9,109,70
90,82,70,99,17
91,59,-145,80,46
92,111,100,120,32
93,-85,38,129,33
94,-101,-87,111,12
95,-26,-10,21,1
96,-56,15,54,41
97,-107,61,126,23
98,82,78,91,50
99,31,-41,6,38
100,32,-42,139,50
101,26,3,97,73
102,36,-146,93,68
103,82,41,73,78
104,30,-65,116,35
105,46,31,43,77
106,-88,-128,88,18
107,89,107,103,1
108,-52,-55,138,19
109,-118,-133,95,46
110,142,19,58,75
111,93,54,86,28
112,-113,84,140,72
113,1,107,152,70
114,-155,-109,14,67
115,28,36,20,45
116,39,-65,128,21
117,-130,-114,154,75
118,-131,-46,2,47
119,-19,-37,85,29
120,123,-112,34,20
121,-89,-56,39,11
122,45,133,101,64
123,100,-106,42,71
124,9,37,67,14
125,-131,68,70,22
126,4,51,152,12
127,84,-10,122,59
128,-53,68,73,51
129,-133,-60,110,22
130,-79,72,64,59
131,57,149,48,69
132,31,84,146,49
133,49,83,120,35
134,90,35,15,27
135,115,53,52,15
136,-81,-42,139,52
137,-72,-111,131,24
138,127,75,42,65
139,-66,25,143,18
140,-136,-150,13,11
141,85,8,56,7
142,119,92,141,35
143,-111,22,51,1
144,-129,139,17,18
145,-125,65,35,64
146,-109,146,128,30
147,57,99,139,23
148,-23,110,133,12
149,107,69,155,7
150,121,127,118,41
151,107,56,153,48
152,-70,-142,135,19
153,72,147,140,49
154,38,-22,80,21
155,134,54,96,69
