city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,42,-48,43,19
3,-60,-80,57,45
4,107,23,39,18
5,-20,56,75,6
6,-106,23,5,23
7,31,-59,97,27
8,-101,-46,66,22
9,-51,-114,83,32
10,105,53,51,23
11,-25,-78,16,3
12,3,66,19,12
13,80,65,107,52
14,-93,71,83,13
15,-33,-99,16,25
16,-6,68,56,38
17,69,-59,55,5
18,106,-69,101,49
19,32,-100,83,7
20,-20,55,78,53
21,74,110,77,27
22,82,-81,31,42
23,91,90,49,34
24,37,30,58,1
25,56,-63,51,44
26,15,2,35,27
27,-37,-21,77,14
28,71,-115,56,54
29,34,-90,16,44
30,-34,-58,105,54
31,3,-103,77,56
32,31,-24,35,9
33,-29,11,83,58
34,76,-38,104,3
35,102,-2,93,16
36,-76,37,71,3
37,64,-111,34,1
38,79,76,56,12
39,99,-109,22,3
40,93,-5,15,34
41,-98,106,95,48
42,-50,15,79,27
43,-45,-104,74,31
44,90,-33,54,56
45,-56,50,81,42
46,-79,-115,55,41
47,19,77,74,57
48,61,25,98,51
49,-51,52,43,46
50,16,-31,10,45
51,21,74,63,48
52,8,-42,33,40
53,93,101,82,19
54,-23,-74,93,40
55,-103,9,11,29
56,-102,-102,2,58
57,-101,70,52,57
58,-84,13,19,20
59,-93,112,84,45
60,-29,-108,31,39
61,-52,-44,54,26
62,68,31,2,33
63,-23,109,10,23
64,-47,112,94,44
65,59,-3,63,57
66,-100,51,26,10
67,-67,-51,58,8
68,-56,-45,72,18
69,34,53,1,44
70,100,36,98,57
71,41,62,86,14
72,60,97,47,13
73,-48,1,59,51
74,74,-74,22,38
75,-51,10,44,4
76,32,-110,65,55
77,94,-80,89,1
78,-21,-14,63,57
79,-84,-38,61,5
80,-86,8,32,20
81,-33,-71,41,18
82,6,-44,59,26
83,113,-9,71,55
84,-50,90,50,24
85,-8,105,105,15
86,26,90,40,38
87,75,-34,26,5
88,-59,20,73,11
89,-61,93,19,42
90,-33,-101,115,15
91,106,18,34,31
92,-12,-111,82,36
93,48,80,38,5
94,31,-101,106,3
95,46,-64,45,7
96,16,-36,28,46
97,8,-10,66,18
98,47,95,72,18
99,10,53,35,54
100,87,74,42,55
101,-57,97,92,24
102,75,100,3,17
103,53,-103,73,50
104,53,26,8,28
105,-20,-53,65,29
106,18,-38,103,57
107,75,48,24,22
108,13,64,65,27
109,-41,36,72,40
110,-47,74,97,5
111,85,-60,104,31
112,115,-50,9,20
113,-112,-40,47,12
114,-76,-60,81,13
115,-79,64,85,26
