city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-25,-40,16,13
3,12,-27,18,14
4,13,-4,37,2
5,-6,-45,10,1
6,16,13,15,1
7,-44,11,16,9
8,32,38,46,20
9,-45,-22,46,18
10,-4,-45,5,16
11,-37,-14,48,10
12,-1,9,28,1
13,-40,-23,6,16
14,20,31,15,21
15,5,-11,46,8
16,41,-44,41,5
17,36,11,28,9
18,-29,12,37,3
19,7,27,2,21
20,39,3,17,3
21,48,42,44,8
22,36,40,43,3
23,39,-9,44,11
24,16,13,34,7
25,31,-23,7,9
26,46,-30,25,20
27,33,-30,39,18
28,4,29,27,10
29,26,-15,4,18
30,-35,10,38,18
31,21,46,48,5
32,-30,-25,34,10
33,-36,-8,35,22
34,22,-12,8,12
35,-12,1,36,11
36,-24,44,16,7
37,33,-45,15,5
38,-35,13,18,18
39,36,43,46,9
40,35,44,47,10
41,0,3,4,9
42,32,-26,5,6
43,-12,-23,16,1
44,-22,-4,19,5
45,40,-28,17,14
46,38,-31,20,14
47,-33,32,21,22
48,-35,34,14,17
