city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-41,-65,49,19
3,2,37,70,25
4,33,61,38,22
5,58,62,51,31
6,-31,53,34,27
7,60,50,50,30
8,29,50,50,32
9,38,-63,38,6
10,-6,-53,52,14
11,28,17,34,12
12,-11,-51,53,7
13,13,10,2,28
14,-49,-46,3,22
15,20,7,46,9
16,44,-44,37,17
17,29,-54,67,15
18,-4,62,7,27
19,-19,-5,41,13
20,37,32,52,20
21,-24,31,70,30
22,34,-36,8,34
23,3,7,49,17
24,-27,24,35,9
25,10,-34,15,14
26,-1,-8,38,21
27,-7,46,46,17
28,50,0,50,17
29,14,45,57,19
30,-51,70,18,8
31,10,43,41,8
32,-26,-64,4,18
33,48,-9,40,30
34,-42,60,55,14
35,6,-34,47,25
36,-3,25,21,34
37,27,64,25,3
38,40,-25,59,34
39,-35,-66,21,29
40,68,51,23,31
41,49,2,70,25
42,28,63,65,7
43,43,-51,39,20
44,-51,-31,58,13
45,-8,-45,67,5
46,-3,-41,49,19
47,-51,-54,24,3
48,65,22,58,23
49,-38,-9,21,10
50,-48,69,34,28
51,-45,-22,68,30
52,-29,-11,35,18
53,48,48,61,12
54,54,-43,8,35
55,42,0,43,15
56,17,-54,36,23
57,33,-62,52,15
58,-1,-16,3,13
59,-68,-35,10,2
60,12,-67,50,34
61,18,-13,40,35
62,-14,3,45,7
63,-7,16,50,32
64,-50,68,61,13
65,63,-55,64,32
66,-52,-32,9,30
67,38,68,45,1
68,-25,-2,70,29
69,6,58,20,24
70,50,39,1,5
