city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-5,46,23,24
3,-14,-4,25,13
4,32,14,47,5
5,27,-38,9,6
6,31,-17,5,13
7,27,6,39,22
8,-10,11,15,15
9,-43,-25,32,14
10,-7,46,39,23
11,-10,23,8,5
12,7,-29,44,15
13,7,10,3,7
14,18,6,44,19
15,-26,-15,10,22
16,42,-22,5,16
17,15,30,29,22
18,22,-19,18,10
19,-29,2,28,4
20,-39,7,7,8
21,22,-32,23,17
22,16,12,30,22
23,-3,8,34,21
24,-26,-25,14,13
25,11,-32,26,2
26,34,38,12,2
27,10,28,34,1
28,-34,30,26,18
29,30,16,42,5
30,-40,-24,30,16
31,6,15,20,15
32,1,-4,9,23
33,10,14,13,13
34,-42,-42,36,6
35,-28,-15,2,15
36,-3,-25,39,2
37,-24,-28,21,2
38,-12,35,3,10
39,-47,-4,15,23
40,29,-40,31,24
41,36,-46,29,1
42,7,2,40,15
43,43,36,2,16
44,-23,-39,32,9
45,-2,33,31,15
46,-20,41,30,16
47,4,-16,13,13
