city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-168,-172,113,52
3,-116,103,155,16
4,-80,151,81,9
5,-120,-100,116,57
6,87,41,35,64
7,-121,-170,81,73
8,-76,-115,48,26
9,15,52,172,61
10,37,-88,92,2
11,26,140,55,76
12,1,-88,49,89
13,177,-109,137,8
14,136,-87,119,15
15,167,-39,159,59
16,-162,-134,2,78
17,-121,156,31,19
18,-68,-97,162,61
19,-146,-83,47,18
20,-39,-42,155,54
21,-66,38,16,55
22,-147,74,146,32
23,-112,-142,41,74
24,-150,-66,46,15
25,60,-104,130,22
26,94,111,152,88
27,105,-19,98,33
28,157,-132,39,73
29,67,-36,93,7
30,-156,-140,26,49
31,-25,9,11,61
32,-56,-99,25,43
33,40,129,121,25
34,99,51,113,84
35,-74,-66,123,71
36,99,-83,98,39
37,37,-74,109,67
38,128,71,53,14
39,40,62,104,73
40,20,-167,108,54
41,43,80,32,40
42,-25,20,122,72
43,-53,-135,39,77
44,-148,79,35,35
45,74,163,64,1
46,42,95,178,85
47,115,151,57,6
48,-99,84,64,35
49,-157,-50,117,60
50,-72,-3,84,19
51,-29,31,179,85
52,-41,-56,54,2
53,41,-22,57,15
54,112,-105,162,20
55,39,66,50,9
56,-135,-28,61,84
57,-105,59,24,69
58,136,-86,174,48
59,158,138,88,50
60,-82,-147,24,20
61,116,-69,71,14
62,97,-1,124,53
63,147,-71,71,71
64,-174,99,18,71
65,42,42,31,26
66,-63,-12,96,10
67,-6,-149,162,60
68,94,155,13,57
69,-55,-154,48,72
70,9,-41,1,34
71,-66,153,52,22
72,42,-110,124,4
73,145,60,90,45
74,55,52,143,45
75,-68,17,112,33
76,138,-180,42,39
77,-100,168,15,34
78,147,104,169,11
79,-64,50,111,1
80,-49,-162,106,26
81,93,-74,9,53
82,-151,-7,144,31
83,112,71,126,61
84,1,85,105,32
85,-178,-48,27,38
86,33,-145,168,55
87,169,-156,78,68
88,62,89,41,50
89,163,-67,68,15
90,-87,-141,162,7
91,19,-129,41,9
92,-13,82,96,71
93,-179,-162,22,21
94,137,135,107,1
95,28,150,79,65
96,-73,-51,135,75
97,13,-139,111,82
98,-99,-90,22,45
99,-126,35,126,66
100,114,173,78,75
101,-118,63,11,37
102,6,-18,152,68
103,71,90,23,67
104,21,-146,28,9
105,-160,1,62,61
106,3,-65,45,62
107,121,71,93,4
108,82,-23,44,9
109,-47,-60,155,60
110,107,-157,100,42
111,-34,-17,157,37
112,-96,61,171,1
113,-59,-94,131,90
114,11,-56,144,77
115,-62,52,173,68
116,-1,103,166,76
117,-66,-136,91,41
118,11,179,9,43
119,132,-77,159,63
120,23,93,54,87
121,-73,2,118,76
122,-154,-146,86,85
123,-59,-113,155,61
124,-107,176,68,75
125,79,-110,113,11
126,-128,141,51,34
127,37,-121,25,60
128,-44,62,92,1
129,164,113,168,56
130,-101,-133,55,86
131,50,23,56,28
132,-62,165,81,80
133,-123,-90,30,46
134,80,168,1,44
135,-81,-33,87,63
136,31,-91,165,2
137,173,59,19,87
138,-105,-62,120,3
139,-4,158,129,25
140,-175,-156,12,64
141,129,129,47,11
142,43,-59,35,63
143,92,132,1,72
144,20,-49,105,59
145,17,-48,55,47
146,-172,144,122,81
147,-111,-32,58,22
148,-169,-117,42,15
149,-1,65,17,83
150,139,22,64,32
151,-26,-110,18,30
152,-173,-60,13,65
153,-117,120,158,80
154,-142,94,152,76
155,-162,-166,1,17
156,-141,-92,165,39
157,-139,-6,71,2
158,133,116,93,46
159,56,-8,166,4
160,173,66,20,59
161,-159,75,164,20
162,-78,-34,87,45
163,-119,-131,157,43
164,179,109,23,46
165,145,-160,83,22
166,27,-34,120,46
167,5,-105,34,67
168,20,-135,127,90
169,39,52,82,63
170,120,-78,161,4
171,33,112,61,12
172,-174,72,114,70
173,-134,1,103,32
174,31,62,169,56
175,99,165,3,83
176,-48,76,162,17
177,-24,-35,49,31
178,-41,-175,128,87
179,161,-20,179,24
180,-90,-100,164,29
