city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-225,-251,109,76
3,-84,46,48,27
4,-241,114,4,49
5,224,-52,26,175
6,-105,145,234,97
7,-243,288,321,161
8,-190,-312,64,98
9,43,252,283,84
10,-30,-164,77,116
11,50,-47,238,95
12,-235,166,21,68
13,239,-154,284,135
14,-57,-99,58,131
15,-231,-58,194,67
16,214,-133,243,110
17,-184,-182,325,2
18,-333,-157,237,31
19,49,234,125,156
20,-104,-318,6,165
21,221,-129,275,114
22,-50,81,119,32
23,148,220,148,71
24,17,75,296,111
25,231,-298,13,5
26,319,-197,323,43
27,-93,-350,122,91
28,-178,281,295,33
29,107,109,137,18
30,261,51,92,49
31,-251,-152,307,172
32,173,-150,265,157
33,173,84,120,68
34,37,-169,241,161
35,-48,-241,346,169
36,308,239,120,50
37,-348,285,295,153
38,-113,123,211,83
39,343,186,158,151
40,226,-118,280,4
41,145,-239,313,41
42,236,271,141,70
43,-61,-301,316,49
44,51,292,154,87
45,121,-167,188,108
46,270,304,153,83
47,-190,-193,96,63
48,331,48,60,31
49,19,15,69,54
50,10,-333,319,29
51,-69,194,299,64
52,12,-284,190,113
53,-252,-179,280,40
54,-213,-325,172,21
55,-17,-320,141,100
56,243,-345,274,11
57,323,-142,92,151
58,25,81,342,63
59,-199,-13,266,18
60,-198,-271,36,3
61,99,147,280,116
62,281,198,116,16
63,342,-165,268,53
64,41,283,208,169
65,-337,-241,166,30
66,-333,-248,180,53
67,-99,350,242,120
68,180,242,117,6
69,294,43,47,79
70,-169,-302,97,92
71,-104,-23,194,71
72,-17,-136,110,112
73,237,-24,70,135
74,117,118,75,174
75,-108,-50,10,119
76,328,-323,345,55
77,140,83,16,41
78,16,49,100,8
79,81,244,290,83
80,-138,5,153,172
81,165,215,263,148
82,-79,-269,175,174
83,-323,-241,265,71
84,33,198,189,47
85,-76,-34,343,146
86,294,-138,65,103
87,69,-102,328,74
88,156,179,1,61
89,240,183,87,125
90,-127,-72,342,84
91,-79,75,117,156
92,79,-3,207,30
93,14,-234,185,67
94,-308,-152,115,152
95,-47,112,84,165
96,-122,12,322,2
97,168,329,275,29
98,284,50,330,145
99,256,307,141,103
100,-60,-233,311,111
101,-286,-47,253,51
102,18,122,19,45
103,-219,-200,17,47
104,156,-238,169,79
105,67,-61,309,93
106,-207,9,231,150
