city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,16,48,3,12
3,43,-7,32,18
4,-34,42,12,13
5,-27,32,10,2
6,23,-10,39,15
7,44,-31,3,14
8,-16,-19,36,23
9,-19,-27,41,1
10,28,36,40,25
11,-32,39,40,8
12,0,33,44,9
13,-9,14,2,7
14,-26,-32,38,2
15,-39,23,21,17
16,1,38,47,6
17,-11,47,8,16
18,6,10,50,22
19,-49,-49,10,9
20,-7,35,31,25
21,36,-14,45,14
22,-9,30,33,11
23,-7,42,38,22
24,-46,22,4,15
25,-5,46,43,23
26,34,19,30,14
27,18,20,44,18
28,-13,-34,17,21
29,12,47,5,7
30,19,24,12,8
31,-10,36,11,9
32,-21,-47,22,10
33,-49,-11,16,10
34,7,-33,33,12
35,25,-17,22,10
36,6,50,13,1
37,-25,35,45,16
38,41,39,30,22
39,-8,4,48,1
40,-23,-19,8,1
41,-22,-33,27,19
42,33,48,39,2
43,5,-27,39,11
44,14,-14,31,22
45,-35,-8,12,5
46,0,-40,19,6
47,36,-41,49,3
48,31,-47,42,22
49,-40,13,37,22
50,23,-40,16,22
