city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-32,-1,25,16
3,25,13,17,9
4,27,1,28,13
5,27,-3,30,14
6,9,3,6,1
7,6,-22,5,2
8,-3,13,21,2
9,-6,20,17,17
10,22,11,16,11
11,12,9,8,14
12,-14,-17,5,14
13,-22,25,14,6
14,31,-11,8,15
15,10,25,14,5
16,13,-31,25,16
17,20,-23,18,2
18,21,-33,28,12
19,-10,27,11,18
20,-19,-29,9,15
21,-18,7,35,11
22,-3,12,27,11
23,36,-3,6,16
24,-17,-11,18,16
25,-17,36,33,12
26,-19,-23,17,2
27,8,-35,2,3
28,25,-14,12,7
29,-30,26,13,16
30,22,13,4,1
31,36,-36,19,13
32,-4,-29,33,15
33,-8,29,34,8
34,23,34,2,18
35,-30,-35,15,17
36,-24,29,4,1
